科目分類,貸借区分,連結科目コード,連結科目名（日）,連結科目名（英）,換算区分,金額区分,備考,設定日時,最終更新日時
売上原価,借方,441800,福利厚生費(製),Welfare expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451210,外注加工費(製),Outsourcing expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451220,荷造運賃(製),Freight and packing costs - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451240,接待交際費(製),Entertainment expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451250,旅費交通費(製),Travel and transportation expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451260,通信費(製),Communication expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451270,水道光熱費(製),Utilities expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451280,修繕費(製),Repair expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451290,備品・消耗品費(製),Office supplies expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451300,車両費(製),Vehicle expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451310,リース料(製),Leases expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451320,地代家賃(製),Rent expenses on land and buildings - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451330,保険料(製),Insurance expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451340,租税公課(製),Taxes and dues - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451360,支払報酬(製),Fee expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451370,会議費(製),Meeting expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451380,寄付金(製),Donations - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
